"Higher Level Collection","Collection ID","Collection or Subsection Name","Main Collection or Subsection","Date Created","Record ID","Primary Seed","Title of Target","Description","Language","Licence Status","LD Criteria","Institution ID","Updated","Depth","Scope","Robots.txt","Crawl Frequency","Crawl Start Date","Crawl End Date"
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:39:20.787,70771,https://www.dumfriesbaptistchurch.org.uk/,Dumfries Baptist Church,"Site of a Scottish Christian church of the Baptist denomination and its congregation located in Dumfries, Dumfries & Galloway.",EN,PENDING,false,3,2018-09-18 09:45:29.181,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-10 10:34:59.205,63920,http://www.kcog.co.uk/,Kilsyth Church of God,"",EN,PENDING,false,3,2018-10-05 12:29:47.302,CAPPED,root,NULL,WEEKLY,2018-04-11 09:00:00.000,2018-04-17 00:00:00.000
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:35:36.920,72210,https://www.elimcoatbridge.co.uk/,Elim Coatbridge,"Site of a Scottish Elim Pentecostal (Christian) Church located in Coatbridge, Lanarkshire.",EN,PENDING,false,3,2018-10-17 15:29:45.474,CAPPED_LARGE,root,true,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-04-09 15:00:51.209,63871,http://www.anderstonkelvingrove.org.uk/,Anderston Kelvingrove Parish Church,"",EN,PENDING,false,3,2018-07-17 09:10:45.860,CAPPED,root,NULL,ANNUAL,2018-05-22 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-07-17 09:30:58.174,68962,https://www.saintaugustines.org.uk/,Saint Augustine's Church,"Site of a Scottish Roman Catholic church located at Coatbridge, Lanarkshire.",EN,PENDING,false,3,2018-08-24 11:32:50.811,CAPPED_LARGE,root,true,ANNUAL,2018-07-18 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:08:41.410,70761,http://bodbaptist.org.uk/,Bridge of Don Baptist Church,Site of a Scottish Christian church of the Baptist denomination and its congregation located in Aberdeen.,EN,NULL,false,3,2018-09-04 06:55:23.295,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-04 07:11:40.028,70774,http://dunrossnessbaptist.org.uk/,Dunrossness Baptist Church,Site of a Scottish Christian church and its congregation of the Baptist denomination located in,EN,PENDING,false,3,2018-09-18 09:45:43.726,CAPPED_LARGE,root,true,ANNUAL,2018-09-05 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-10-05 12:41:28.007,72212,https://www.motherwellelim.org.uk/,Elim Motherwell,"Site of a Scottish Elim Pentecostal (Christian) Church located in Motherwell, Lanarkshire.",EN,PENDING,false,3,2018-10-17 15:34:18.077,CAPPED_LARGE,root,NULL,ANNUAL,2018-10-06 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:15:01.286,70762,http://bonessbaptistchurch.com/,Bo’ness Baptist Church,"Site of a Scottish Christian church of the Baptist denomination and its congregation located in Bo'ness, Falkirk [Formerly West Lothian].",EN,NULL,false,3,2018-09-04 06:55:40.077,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-09-03 18:19:28.750,70764,http://citygatesedinburgh.org/,City Gates Baptist Church,Site of a Scottish Christian church of the Baptist denomination and its congregation located in Edinburgh.,EN,NULL,false,3,2018-09-04 06:56:35.038,CAPPED_LARGE,root,true,ANNUAL,2018-09-04 09:00:00.000,NULL
